WasteGenerated	CollectedPlastic	FormalCollection	InformalCollectSorting	MixedCollection	FormalSorting	ExportedWaste	ImportedWaste	CLMechanicalRecyling	OLMechanicalRecyling	ChemicalConversion	UnsortedWaste	UnsortedManagedWaste	EngineeredLandfills	ThermalEnergyRecovery	FuelsFractionChemConversion	UncollectedWaste	MismanagedWaste	OpenBurning	TerrestrialDumping	DirectToWater	UnsanitaryDumpsites	OceanLeakage	RecycledPlasticPolymers	RecycledMonomers	VirginPlasticInput	ExternalSource
0	0	1329.6394755723	134.403660175974	1329.63947557415	0	0	0	0	127.682756658822	0	1370.8339612564	39.4132171180254	1962.76751131667	0	0	3753.41563111193	1331.42074984158	433857.522513672	205028.187006019	70.3244398519645	60886.3537896445	32954.9811468698	13524.5976451969	0	0	0
0	0	1358.24548550745	142.791302231043	1357.95789715087	0	0	0	0	135.571173119596	0	1401.38598510672	40.2825546047211	5946.36724156073	0	0	4162.70823710747	1360.78790261512	739612.589768312	350250.63905443	72.1826639926843	103057.663303243	56124.5864535911	23128.57037718	0	0	0
0	0	1387.64215309662	148.705749786284	1387.34673737168	0	0	0	0	141.213576587949	0	1432.5969855461	41.1799890146799	10020.1063550337	0	0	4599.07699152693	1391.10419959395	1072176.77003823	511076.483578673	74.1347596693537	146033.746873608	80910.9236189216	33233.615721716	0	0	0
0	0	1417.63046526838	154.811874821614	1417.33325466757	0	0	0	0	147.012240895652	0	1464.44962086351	42.0956484547908	14184.6137986815	0	0	5060.30942090755	1422.03615763993	1433110.90427717	688409.889926137	76.1420502642954	189865.761373368	107400.328060423	43754.245086446	0	0	0
0	0	1448.12296046445	161.146282165699	1447.81658560422	0	0	0	0	153.027732606732	0	1496.86672674857	43.0274845836217	18441.4552917708	0	0	5545.12331161029	1453.51458158239	1823818.43980217	883099.380000298	78.2002350445813	234563.894366751	135672.370739613	54706.1404315005	0	0	0
0	0	2265.11442015357	167.714667202931	4466.53461429017	0	0	0	0	159.265450405092	0	2276.11664091813	126.533413793048	26272.8576939713	0	0	4866.40935577556	2141.33119626825	2228214.82206904	1074446.86342486	106.270587482765	291072.074058195	166056.609165563	66151.4542517647	0	0	0
0	0	2492.35031841531	174.520847767042	4975.89715820492	0	0	0	0	165.729054780471	0	2536.88451747384	209.773492949438	43127.503401518	0	0	4748.74786845171	2324.89675763837	2635254.19576601	1250836.08029813	109.371750849704	364287.353079605	198228.582862732	78185.5409477679	0	0	0
0	0	2705.87276700698	181.570078788861	5403.21599498185	0	0	0	0	172.423488076902	0	2751.47517427021	302.108614446416	68664.6267993809	0	0	4617.98726062915	2447.22468269318	3042590.8114374	1422783.95584169	108.643690962076	442162.602049726	230403.632862312	90825.2529413818	0	0	0
0	0	2909.77171330527	188.868270357305	5811.40039412149	0	0	0	0	179.354377539235	0	2956.50024677561	404.782106814063	103958.061633179	0	0	4468.52966463534	2549.67374065924	3447913.14632061	1589586.78070541	106.489258153879	523981.689056909	262306.246231284	104097.429734154	0	0	0
0	0	3101.46735789711	196.420764075731	6195.2649712543	0	0	0	0	186.526801719987	0	3149.36220078352	516.591371184948	149982.876058576	0	0	4301.51934102628	2630.84917048357	3848964.08693613	1750578.96419083	103.0062297067	609023.612707792	293682.194255488	118029.818884231	0	0	0
0	0	3278.10685976749	204.231450981193	6549.12812597596	0	0	0	0	193.944477072547	0	3327.21905407307	636.007342466255	207576.337547051	0	0	4118.39153761055	2689.44004655228	4243477.64033683	1905145.10582514	98.3093489892523	696511.306465038	324287.526378001	132651.008037147	0	0	0
0	0	3436.912836405	212.302965346917	6867.45384974693	0	0	0	0	201.609925391812	0	3487.29954174462	761.206024759096	277408.688748148	0	0	3920.63543505493	2724.49940797315	4629200.78271846	2052721.81070493	92.5384910359242	785623.282172885	353892.215885191	147990.340571038	0	0	0
