Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44
419627.943834151	86365.8384401229	132359.239312846	287268.704521304	0	132359.239312846	88407.9958489412	247542.388377035	0	17681.5991697883	0	132359.54281108	0	0	1115.56566886219	278.891417215548	3326.37498956499	2788.91444368052	64537.767867405	23870.133320821	67137.5760875411	0	0	0	6938.47850602899	234389.246317877	0	6938.47837005293	51819.5030640737	17273.1676880247	17273.1676880247	11719.462086223	60961.8589842171	1727.31676880247	28992.6298691675	66357.3207043465	93787.4753603341	1563.1245893389	0.303498233360429	0	0	131915.324201167	2788.91444368052	181520.113125574
433903.514888242	114376.634179196	134785.125677046	299118.389211193	0	134756.648476041	92371.3274815788	258639.716948421	0	18474.2654963158	0	134732.885601713	0	0	1132.02047459226	283.005118648064	3376.27061440843	2830.25707914761	67401.9837067656	24929.5008230503	70108.2026616708	0	0	0	7143.3803770365	241311.051303342	0	7141.26706626636	68428.6912018813	22809.5637339604	22809.5637339604	12061.9830699368	61864.6467118306	2280.95637339604	34812.4001128846	70550.379067696	95176.3795566624	1586.27299261104	0.303498233360429	0	0	142480.826363965	2830.74816033573	189551.807196369
448670.69457158	143884.232067037	137239.916050213	311430.778521365	0	137211.897249704	96178.865238319	269300.822667293	0	19235.7730476638	0	137187.716922176	0	0	1149.0052334002	287.251308350049	3426.91467362456	2872.72473340658	70182.7649608677	25958.0089581292	72992.6107353281	0	0	0	7348.53672724212	248241.45286908	0	7346.48341626152	86128.460682045	28709.486894015	28709.486894015	12408.6044910861	63300.361008154	2870.9486894015	41055.7620670283	73454.867361011	97385.1707817753	1623.08617969625	0.303498233360429	0	0	152953.699621975	2873.20938274077	197350.391988109
463941.774920997	174933.782184177	139726.175945632	324215.598975362	0	139697.31730591	100126.808792204	280355.064618171	0	20025.3617584408	0	139672.875134237	0	0	1166.23720191718	291.559300479294	3478.31839372893	2915.80727259556	73063.7474587284	27023.5778272009	75980.8555883541	0	0	0	7559.30552381383	255361.448893113	0	7557.19160195389	104744.029379515	34914.6764598384	34914.6764598384	12764.501917262	64761.3381744366	3491.4676459838	47613.8007826522	76470.8231601911	99632.8279606717	1660.54713267786	0.303498233360429	0	0	163808.742750168	2916.30752348189	205429.720664809
479726.639983844	207566.921418699	142248.231397197	337478.408586646	0	142218.76573215	104222.771664671	291823.76066108	0	20844.5543329343	0	142194.016312413	0	0	1183.73030017256	295.932575043141	3530.49316963486	2959.54105950228	76052.7724421615	28129.107615594	79081.0611511527	0	0	0	7776.32827764344	262692.710301469	0	7774.15188286519	124311.397258355	41437.1324194518	41437.1324194518	13130.9594675702	66256.5813187424	4143.71324194519	54499.5834440906	79599.5598357766	101933.202028834	1698.88670048057	0.303498233360429	0	0	174974.163082033	2960.05213633412	213811.757927191
496039.638877552	241825.351720199	144807.92599206	351231.71288549	0	144779.379060925	108472.320576505	303722.497614214	0	21694.464115301	0	144754.06132592	0	0	1201.49407338395	300.373518345987	3583.45056717939	3003.95773974729	79153.6487547461	29276.0070736732	82297.1752815688	0	0	0	7999.8730294063	270244.291795666	0	7997.63228622819	144865.971250337	48288.6570834456	48288.6570834456	13508.4298543816	67788.2950986276	4828.86570834456	61724.7203405328	82844.0259547184	104289.684767119	1738.16141278532	0.303498233360429	0	0	186621.822036445	3004.4529183791	222507.177613131
512891.860773981	277747.465194091	147409.401385262	365482.459388719	0	147380.797107203	112874.341777036	316048.1569757	0	22574.8683554071	0	147355.108015122	0	0	1219.51952293065	304.879880732662	3637.20232568707	3049.02419022969	82366.0489584029	30464.1550942038	85628.8559554784	0	0	0	8229.98576008681	278017.746662679	0	8227.68070363128	166411.452646351	55470.4842154502	55470.4842154502	13896.9939691575	69356.438759071	5547.04842154501	69291.8073557545	86205.8629548358	106702.213475494	1778.37022459156	0.303498233360429	0	0	198701.069393789	3049.51971215479	231515.054990738
530297.157950771	315371.784410347	150055.393827523	380241.764123246	0	150031.068396361	117439.604447531	328830.892453088	0	23487.9208895063	0	150004.797589484	0	0	1237.84451504114	309.461128760284	3691.76036057238	3094.84198009498	85697.4001819034	31696.2986974163	89083.8049698556	0	0	0	8467.23617495869	286032.320157732	0	8464.85869061787	189015.535407825	63005.1784692746	63005.1784692746	14297.6003093276	70967.0180779585	6300.51784692746	77223.192938892	89687.692856817	109180.027812244	1819.66713020406	0.303498233360429	0	0	210828.855780264	3095.26250783714	240856.213437017
548270.438786764	354741.66147318	152748.306167421	395522.132619346	0	152719.146539359	122153.110904119	342028.710531533	0	24430.6221808238	0	152692.428682141	0	0	1256.38190211584	314.095475528961	3747.13676598098	3141.18869958653	89137.1030478952	32968.5175656599	92651.0221994013	0	0	0	8710.81842583792	294260.789864799	0	8708.37290280777	212589.211883788	70863.0706279293	70863.0706279294	14708.9088736856	72608.9528256749	7086.30706279293	85488.8390431598	93292.4664829116	111706.081270269	1861.76802117115	0.303498233360429	0	0	223494.179176621	3141.69144545469	250500.911872455
566825.946689796	395896.891764652	155491.265785861	411334.680903931	0	155462.237334505	127038.044338826	355706.524148712	0	25407.6088677652	0	155435.125711125	0	0	1275.23293305451	318.808233263628	3803.34381747071	3188.31811361641	92702.0156806696	34287.0468955902	96347.9933879753	0	0	0	8962.03249322015	302747.070519413	0	8959.51627328242	237276.759068745	79092.253022915	79092.253022915	15133.1034955478	74297.4020053735	7909.22530229155	94138.8489983795	97022.8074272719	114303.695392882	1905.06158988137	0.303498233360429	0	0	236231.109920264	3188.81681713649	260496.426567489
