Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44
89286.6664457806	252045.742958427	89286.6664457806	0	0	89286.6664457768	0	8574.0775790994	0	451.267241005232	0	89286.6664462218	0	0	0	0	0	0	0	0	2314.98790941332	0	0	0	2646.63829328596	89406.2803971069	0	2646.63837749419	151227.44577505	50409.1485916834	50409.1485916834	4470.31416208757	24291.6590241782	17643.2020070891	54879.4575160398	9024.53462910687	45546.8606703342	6072.91475604456	0	0	0	88817.7576644732	0	6259.04138471008
91232.2561100969	279883.137584423	91232.2561100969	0	0	91209.6049063101	0	9109.33401961968	0	479.438632611562	0	91190.2643191318	0	0	0	0	0	0	0	0	2458.06053371384	0	0	0	2705.68347110485	91400.889837152	0	2705.07366377344	167735.427210929	55911.8090703097	55911.8090703097	4569.01449457012	24709.2763788809	19569.1331746084	60424.466097832	9594.78671282959	46329.8932104017	6177.31909472023	0	0	0	96283.9223562067	0	6645.86736893001
93208.6462019944	309234.346346178	93208.6462019944	0	0	93184.4645501931	0	9486.46789995152	0	499.287784207975	0	93164.9031505132	0	0	0	0	0	0	0	0	2560.31521815549	0	0	0	2765.9734808553	93437.5510350828	0	2765.37021353559	185325.092814286	61775.0309380955	61775.0309380955	4670.85860089717	25202.0860690365	21621.2608283334	66386.7775754024	9989.79445130722	47253.9113794434	6300.52151725912	0	0	0	103711.433446397	0	6922.33373797596
95217.7840289782	340150.280731514	95217.7840289782	0	0	95194.0212721314	0	9875.98393041935	0	519.788627916808	0	95173.7888967678	0	0	0	0	0	0	0	0	2665.44495162352	0	0	0	2827.33225306884	95510.3161753976	0	2826.71775336201	203870.77647238	67956.9254907934	67956.9254907934	4774.47788580867	25700.837811913	23784.9239217777	72668.0943857309	10399.9616681366	48189.0708973368	6425.20945297824	0	0	0	111447.683064826	0	7206.57338772284
97262.8440941612	372677.104213227	97262.8440941612	0	0	97239.3303880104	0	10280.0696870925	0	541.056299320657	0	97218.939914661	0	0	0	0	0	0	0	0	2774.50874500445	0	0	0	2889.86870415718	97622.864571311	0	2889.24258683743	223381.870242625	74460.6234142083	74460.6234142083	4880.08568283304	26206.7715178636	26061.2181949729	79274.7971513626	10825.4669805042	49137.6965959942	6551.69287946589	0	0	0	119444.917961768	0	7501.44956982683
103395.211347434	402816.35099629	103395.211347434	0	0	103331.276986099	0	10699.1082285422	0	563.110959396956	0	103269.541559859	0	0	0	0	0	0	0	0	2887.60809982396	0	0	0	3066.54101471284	103591.044724985	0	3064.7388848103	241501.276537567	80500.4255125223	80500.4255125224	5176.50834219342	27867.8230754783	28175.1489293828	85613.1967185931	11266.7113908053	52252.1682665218	6966.95576886957	0	0	0	127824.652360681	0	7807.23671433885
105626.238503144	438605.579904664	105626.238503144	0	0	105601.469836656	0	11133.2968106354	0	585.962990033441	0	105579.154930469	0	0	0	0	0	0	0	0	3004.79793676611	0	0	0	3138.09165043746	106008.10194675	0	3137.40941321269	262924.95062729	87641.6502090967	87641.6502090967	5299.25276207567	28467.8029908361	30674.5775731839	92868.1546507322	11723.9181330749	53377.1306078177	7116.95074770902	0	0	0	136553.487093457	0	8124.08331051579
107901.259914447	476150.820657682	107901.259914447	0	0	107876.456214231	0	11582.9908817604	0	609.63109904002	0	107853.626547999	0	0	0	0	0	0	0	0	3126.17297678158	0	0	0	3207.64176348331	108357.579366617	0	3206.94525614838	285444.887436813	95148.2958122709	95148.2958122709	5416.70253008757	29030.3693670231	33301.9035342948	100488.476717003	12197.4437997167	54431.9425631683	7257.59234175578	0	0	0	145371.827349569	0	8452.2454557428
110222.443851561	515505.82784963	110222.443851561	0	0	110196.769465438	0	12048.562371464	0	634.134861656002	0	110173.519433672	0	0	0	0	0	0	0	0	3251.8339422158	0	0	0	3278.64427865538	110756.120488189	0	3277.93329171254	309042.315602757	103014.105200919	103014.105200919	5536.60512933187	29602.4984823874	36054.9368203217	108470.663121032	12687.6896998447	55504.6846544764	7400.62462059686	0	0	0	154617.758017339	0	8791.99547339826
94397.9734195684	459425.557473481	94397.9734195684	0	0	94562.8754569207	0	12530.3598806451	0	659.492625297113	0	94722.1624004983	0	0	0	0	0	0	0	0	3381.87502627243	0	0	0	2844.07952558782	96076.0570046291	0	2848.58336595137	276005.18923517	92001.7297450565	92001.7297450565	4811.41007815203	25030.9692304117	32200.6054107698	96933.8683796796	13195.0126398522	46933.0673070218	6257.74230760291	0	0	0	138334.925503809	0	9143.58803399581
