WasteGenerated	CollectedPlastic	FormalCollection	InformalCollectSorting	MixedCollection	FormalSorting	ExportedWaste	ImportedWaste	CLMechanicalRecyling	OLMechanicalRecyling	ChemicalConversion	UnsortedWaste	UnsortedManagedWaste	EngineeredLandfills	ThermalEnergyRecovery	FuelsFractionChemConversion	UncollectedWaste	MismanagedWaste	OpenBurning	TerrestrialDumping	DirectToWater	UnsanitaryDumpsites	OceanLeakage	RecycledPlasticPolymers	RecycledMonomers	VirginPlasticInput	ExternalSource
0	0	1971.06775908083	5266.21792998531	1971.07227871683	20.7659855799095	3079.76072013521	41.5319653642038	1316.55309326151	3702.96144495966	0	3593.80497886473	103.32645621716	5144.09271193116	0	0	1286.14307938825	3490.47852153657	317784.826667018	74073.0291686501	175.810067348918	133609.949985271	29403.5619311196	539116.116436639	0	0	0
0	0	2006.76228669451	5502.2631475596	2006.40945812452	21.0722239827335	5171.75033149434	42.1475072858574	1374.9738780423	3866.78215526685	0	3699.91784724877	106.345864431999	15623.2954125932	0	0	1698.2943395396	3592.477369726	547796.253530675	131742.911855504	181.264877999454	226176.676966542	50201.9320329168	913536.718412864	0	0	0
0	0	2043.31625802208	5729.02471600993	2042.95874382216	21.3883382452149	7295.11548670535	42.7797692738757	1431.69217305107	4025.84621960235	0	3806.16046849112	109.401367017834	26412.4685113209	0	0	2137.48388404762	3695.69552448338	806294.54390521	205980.101104327	186.866261787198	320588.783310034	72102.2686044017	1304124.12438438	0	0	0
0	0	2080.3440702226	5964.27030936585	2079.98022419135	21.709216329256	9450.33703099596	43.4216127606996	1490.47978005232	4190.7081929358	0	3915.3621973668	112.540154215612	37511.0767195849	0	0	2599.70119583904	3801.72712276537	1095153.22701278	297664.213552658	192.628284715124	417181.945417963	95137.3798902209	1710739.16487391	0	0	0
0	0	2117.90472457425	6208.31729971394	2117.53437452807	22.0349181153371	11637.89358297	44.0730913380265	1551.46801642404	4361.73578292595	0	4027.79549938167	115.771826048409	48928.2563408496	0	0	3085.50835450173	3910.89646364865	1415845.21078613	407696.55288248	198.57073841402	516005.963704024	119353.512331436	2133988.72621634	0	0	0
0	0	2228.49902125356	6461.19977178762	2227.39647101819	22.3652370176491	13858.2423582545	44.7337238909668	1614.66880252895	4538.96218525693	0	4214.51610102501	131.135532326335	60760.0630395034	0	0	3452.34440604177	4091.50334578057	1767488.08964362	534256.190698332	207.93188247175	618338.347422377	144881.739370515	2574479.02306622	0	0	0
0	0	2270.00188271245	6723.63585903581	2269.59933038806	22.701085115793	16111.9332497032	45.4055493929938	1680.24972636553	4722.85742144571	0	4337.94692065889	158.361511946718	73032.5812322213	0	0	3979.41810973861	4212.0470013362	2151675.47171984	678069.409461175	214.517539091986	724486.983336754	171806.668759736	3032865.75148791	0	0	0
0	0	2311.18818601342	6994.78023431985	2310.77879689056	23.0409872036755	18399.3692308516	46.0854021347693	1748.01218625341	4912.86418770843	0	4462.31315324591	198.105279961534	85645.2728296611	0	0	4531.70393116254	4332.80271367333	2571983.35827317	842773.935933899	221.105637154705	833093.434827999	200058.512476437	3509748.49362596	0	0	0
0	0	2353.23326478506	7276.29657058987	2352.8165813393	23.3872012635818	20721.1753405398	46.7778921555678	1818.36698349747	5110.13455682823	0	4590.71871882747	251.432892065066	98608.3323220669	0	0	5111.74980844523	4457.48113138044	3030163.53578377	1029431.38956019	227.917564254949	944227.480254408	229692.343118063	4005836.97679955	0	0	0
0	0	2395.94280175933	7567.28292515149	2395.51828532547	23.7381026336293	23077.8182049227	47.4797476699356	1891.08820406188	5314.03464718069	0	4722.68996808135	319.348043925209	111930.948224117	0	0	5533.04361075891	4585.62172687422	3522348.1308662	1235491.62781115	234.745673191908	1057945.42653441	260640.859901598	4521782.45329693	0	0	0
0	0	2439.52644588236	7868.22457814913	2439.09438841296	24.0942843208415	25469.821948022	48.1921464129285	1966.30039812549	5524.91369571267	0	4858.59038572488	402.857446808505	125623.116889878	0	0	6151.73487860684	4717.57679745035	4049648.73672044	1461608.13372065	241.958205772369	1174312.13249837	292944.982006919	5058270.65259779	0	0	0
0	0	2484.06502167147	8179.41507200696	2483.61514423043	24.4560163855572	27897.7362953979	48.9157877074222	2044.06051829329	5742.93136298137	0	4998.5589379618	503.087030679199	139695.296946144	0	0	6799.81207153636	4853.48311641122	4619152.28096572	1712282.44116116	249.39925767877	1293398.92613475	326776.181989206	5616004.98609409	0	0	0
0	0	2529.63884838089	8500.9007462902	2529.19394166593	24.823531820931	30362.1373202222	49.6506529418469	2124.42810901836	5968.25460505705	0	5142.7863912653	621.148326467137	154158.433245935	0	0	7475.9193486241	4993.52149081922	5232659.71466242	1988601.26319906	257.075223693839	1415282.34211522	362192.194594626	6195705.45577621	0	0	0
0	0	2576.13173857775	8831.71441025031	2575.67031620908	25.1950284637603	32863.4213146525	50.3937829157183	2207.09770266258	6200.02661300231	0	5290.7337240567	758.448811206539	169021.700748137	0	0	8177.83501396521	5137.17621423316	5891771.05431067	2291540.47110065	264.957439639131	1540019.75752672	399244.377888009	6798008.0025403	0	0	0
0	0	2623.95562960543	9173.5554698274	2623.479474892	25.5731045156741	35402.2365337708	51.1500271544333	2292.52830765258	6439.53471940966	0	5443.39663798628	916.107504812548	184297.273458797	0	0	8910.48240960965	5285.40497754246	6598447.22245318	2622276.63979129	273.099074508297	1667701.30924112	437995.653347497	7423674.68348148	0	0	0
0	0	2673.06423703539	9525.89617573743	2672.57712083565	25.9568660789303	37979.1509781359	51.9175750961125	2380.5899368024	6686.41424359541	0	5600.57849238635	1095.49091849264	199996.625927937	0	0	9672.70217131507	5438.02486989367	7354578.39975671	2981946.39382229	281.48982689853	1798411.33545618	478506.887356584	8073431.387667	0	0	0
0	0	2723.53095998202	9888.45258766488	2723.02691175795	26.3459134175497	40594.6895875639	52.6957747350212	2471.19862395309	6940.4297630213	0	5762.2356252852	1298.06774278569	216130.977127171	0	0	10464.0298638805	5594.98910182371	8162019.56343658	3371666.4989133	290.126765453881	1932231.26654311	520837.97071394	8747984.60084332	0	0	0
0	0	2775.65092155524	10261.9977118819	2775.13459891978	26.7415150531455	43249.5012658288	53.4869816511935	2564.56367764687	7202.16834632937	0	5928.93024384874	1525.2156454986	232713.202393933	0	0	11287.0229139602	5756.84446610049	9022818.21359723	3792658.65926132	299.039955881936	2069262.17766253	565055.140816474	9448099.93923834	0	0	0
0	0	2829.4109043571	10645.630772022	2828.87573087195	27.1424850328292	45944.1204240922	54.289001827247	2660.44318833394	7470.95170060094	0	6100.3424789026	1778.56603465282	249755.070590017	0	0	12139.5515439354	5923.28065744721	9938872.88706717	4246058.37346857	308.211566283562	2209595.05728747	611220.268929513	10174476.6958465	0	0	0
0	0	2885.0895700889	11039.848692611	2884.53224422725	27.5497155647469	48679.168121149	55.10357306403	2758.96707943611	7747.14433484271	0	6276.91337370699	2059.68319039676	267269.620982444	0	0	13023.4463934081	6094.72585411834	10912218.6377574	4733074.32179732	317.664900796199	2353336.07896749	659399.825309868	10927851.7529567	0	0	0
0	0	2942.82406883251	11444.6553089925	2942.26342307063	27.963420533518	51455.2878203007	55.930809741666	2860.16673124736	8030.83428067333	0	6480.54382157995	2218.3137617228	285270.403713943	0	0	13938.942452398	6291.19595323284	11944999.3314877	5254937.01283153	328.318718582074	2500640.77293264	709667.261210405	11708966.9542345	0	0	0
0	0	3002.61508928373	11858.9898907858	3002.01717471577	28.3820893862605	54272.9718109466	56.7684230681558	2963.70296547683	8321.070619742	0	6646.24785217202	546.376513204069	303769.39161748	0	0	14883.4452927608	6454.59306728687	13040113.4658161	5812746.57927978	337.595099772467	2652294.52930968	762187.026803217	12518474.5570515	0	0	0
0	0	3064.9341211657	12284.3678846118	3064.31650881441	28.8082046978414	57132.9577464084	57.6206528338308	3070.02773360449	8619.12080768482	0	6838.4356110888	921.165460051125	322781.821688562	0	0	15861.5755687607	6639.94695273178	14197523.3810771	6407813.79576092	347.755419598124	2806934.78845339	816812.333984217	13357150.2889686	0	0	0
0	0	3129.86112977097	12719.6478778013	3129.20968660421	29.2405339621565	60035.863957964	58.4854600920202	3178.81279668778	8924.06478654711	0	7036.82662777594	1330.80919612332	342321.714980996	0	0	16870.6436601948	6832.58051303614	15420441.804941	7041334.47542687	358.392983594172	2965456.15788405	873724.350811845	14225687.543017	0	0	0
