WasteGenerated	CollectedPlastic	FormalCollection	InformalCollectSorting	MixedCollection	FormalSorting	ExportedWaste	ImportedWaste	CLMechanicalRecyling	OLMechanicalRecyling	ChemicalConversion	UnsortedWaste	UnsortedManagedWaste	EngineeredLandfills	ThermalEnergyRecovery	FuelsFractionChemConversion	UncollectedWaste	MismanagedWaste	OpenBurning	TerrestrialDumping	DirectToWater	UnsanitaryDumpsites	OceanLeakage	RecycledPlasticPolymers	RecycledMonomers	VirginPlasticInput	ExternalSource
0	0	1971.06775908083	5266.21792998476	1971.07227871683	20.9959842472373	3113.8713507454	41.9919626359977	1316.55309326409	3703.14544385045	0	3593.90065829376	103.329207122246	5144.22972893037	0	0	1286.14307938825	3490.57145006105	317792.534844365	74073.0291686501	175.814713775505	133615.024535357	29404.2994053856	539135.925520722	0	0	0
0	0	2006.76147734884	5502.25872790426	2006.40875566565	21.2830792002065	5227.92289776652	42.5690260389255	1374.97291904969	3866.94831036929	0	3700.00378941119	106.348337637482	15623.6916305969	0	0	1698.28499433005	3592.56091726004	547808.490988137	131742.598213419	181.269051197889	226185.053393533	50203.1390700665	913569.15960531	0	0	0
0	0	2043.32209356423	5729.05411476303	2042.96328056985	21.5791688006978	7371.37814057018	43.1612554914423	1431.69788694597	4026.01504431861	0	3806.25166134767	109.403993528904	26413.137798859	0	0	2137.55402968327	3695.78425084459	806315.318044982	205981.906334018	186.870756104693	320600.61721444	72104.051321871	1304169.88223872	0	0	0
0	0	2080.34337669991	5964.26672760101	2079.97975414075	21.8793143331862	9544.64734323918	43.7615983629415	1490.47917314794	4190.842736098	0	3915.43191068177	112.54216016333	37511.9605679256	0	0	2599.69253481069	3801.79488583091	1095177.82999802	297665.823205086	192.631672575593	417196.499583696	95139.553998428	1710795.34752325	0	0	0
0	0	2117.91842933723	6208.38967563623	2117.54651197269	22.1837864373955	11748.1599157734	44.3706385922436	1551.48404112423	4361.89991567544	0	4027.88943676083	115.774527404562	48929.4193903306	0	0	3085.68568186322	3910.98771835704	1415884.50261579	407704.180253473	198.575464425536	516024.046385921	119356.403015415	2134058.59442316	0	0	0
0	0	3424.31177164966	6461.38041932657	3411.10645328783	21.1354685266812	13915.5545979094	42.2602046848466	1614.71016436408	4538.10538092845	0	5385.69024005753	298.698054897547	68286.2247783158	0	0	2256.95082441387	5073.01293697512	1759480.27667531	511389.838921825	255.346171593353	636403.76934939	146703.836292125	2574530.15922397	0	0	0
0	5.80751475466242e-11	4021.55656082244	6723.56124022553	4015.67396522472	20.1787941484362	15981.505498671	40.348044380906	1680.23282266548	4720.80257173009	0	6077.47868323398	502.45882319629	108251.235155139	0	0	2227.66426941002	5568.32835372783	2122435.71998035	598012.530075688	280.415537681256	786942.948307795	178170.435100233	3032803.63322823	0	0	0
0	1.1637245594797e-10	4662.88420468289	6995.23220356508	4656.43641414842	19.1906311453819	17950.29215565	38.3712567728257	1748.12364240162	4910.10660120223	0	6800.51496829025	746.532681799413	170499.780091241	0	0	2181.22612909682	6046.73740403724	2507295.786853	683350.07711276	304.283712644967	953214.279843222	212158.756185536	3509531.31651593	0	0	0
0	1.16372462748143e-10	5359.50973273396	7276.49120028683	5352.49443354165	18.1682500351136	19818.5344758606	36.3261224393795	1818.41331617768	5106.10006204862	0	7581.74324669879	1037.77420001532	259499.753892537	0	0	2106.0026565488	6536.14177423634	2912935.2696642	766332.893868722	328.673922779161	1135568.6141181	248691.942699711	4005368.89102402	0	0	0
0	1.16372462748143e-10	6003.63145028168	7567.39374781997	5997.14761818695	17.1115579436025	21582.8392434825	34.2123717084809	1891.11389206242	5308.81660240837	0	8315.59474212848	1363.72557885388	379398.377709622	0	0	1925.57159919144	6944.54375428715	3333329.1710143	844383.631166957	348.956525279937	1332669.91831473	287503.061806766	4520976.47797718	0	0	0
0	1.16372462748143e-10	6806.35583050084	7868.32941379086	6798.26477272005	16.0186673416023	23239.6288238851	32.0262574587677	1966.32355584682	5518.52963624737	0	9206.83279333754	1759.31626001745	535277.413295926	0	0	1785.19062556521	7438.55611067786	3766217.47291857	916195.620071528	373.471174895967	1544363.92406187	328527.403654754	5057042.48101624	0	0	0
0	1.16372462748143e-10	7673.11620281739	8179.2793178016	7664.38695747937	14.8893250405205	24785.2983141154	29.7671960002115	2044.03556577406	5735.22008405649	0	10167.1026777711	2218.41171668893	733903.025860343	0	0	1610.38813065076	7939.06812406428	4214615.30948465	981922.529830104	398.321213405245	1772478.76093177	372050.796133376	5614255.74754696	0	0	0
0	1.16372462748143e-10	8606.30455663135	8500.445563149	8596.92032523631	13.7221959822539	26216.1119334716	27.4325873869074	2124.30240678803	5959.03383561732	0	11196.8675725839	2746.62421524454	981880.946142121	0	0	1397.99572370482	8439.92729204635	4676332.94358733	1040154.80393122	423.152569032214	2017011.43509616	418036.073113225	6193319.19967258	0	0	0
