Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44
624901.680604172	128614.307938825	197106.775908083	427794.904696091	0	197106.775908083	131655.448249633	368635.255098971	0	26331.0896499265	0	197107.227871681	0	0	1661.27884639276	415.31971159819	4953.57221043505	4153.1965364204	96108.3758080902	35546.9335180608	99979.9590139109	0	0	0	10332.6456249103	349047.852261563	0	10332.645621716	77168.5847632953	51317.1088675912	128.614307938825	17452.3926076828	91947.0898611423	1539.51326602773	17581.0067348918	98818.0168595377	139666.465611862	1163.88721343218	0.451963599836642	0	0	196445.70625481	4153.1965364204	270316.185482055
646160.580242213	170327.434029696	200719.358168676	445441.222073536	0	200676.228669452	137556.57868899	385158.420329172	0	27511.315737798	0	200640.945812451	0	0	1685.77791861868	421.44447965467	5027.87579359158	4214.75072858572	100373.093097088	37124.2947071422	104403.118192205	0	0	0	10637.7335948205	359354.051130056	0	10634.5864431999	101897.660372376	67761.9441476298	169.82943395396	17962.38684863	93308.1297218666	2032.85832442891	18126.4877999454	105062.236904054	141733.867931949	1181.11556609958	0.451963599836642	0	0	212179.644270552	4215.49448446673	282275.09733448
668151.57378183	214269.568441011	204374.983710925	463776.590070904	0	204331.625802208	143225.617900248	401031.730120695	0	28645.1235800497	0	204295.874382215	0	0	1711.06705961719	427.766764904297	5103.29393049541	4277.97692738755	104513.528632728	38655.6886723788	108697.847929263	0	0	0	10943.1946206733	369672.852228439	0	10940.1367017834	128249.033042858	85285.6069735	213.748388404763	18478.4776224169	95472.8947772744	2558.56820920498	18686.6261787198	109387.543744213	145022.118649024	1208.51765540854	0.451963599836642	0	0	227775.641143134	4278.72690173369	293886.774030972
690892.966282525	260507.947784675	208077.473046765	482815.493235763	0	208034.40702226	149106.757734146	417498.921655612	0	29821.3515468293	0	207998.022419134	0	0	1736.73730634048	434.184326585121	5179.84333945285	4342.16127606995	108805.023943819	40242.9540614127	113149.121209267	0	0	0	11257.1634566941	380279.056279986	0	11254.0154215612	155982.071750343	103728.077713978	259.970119583904	19008.6356138269	97677.6661900856	3111.84233141934	19262.8284715124	113878.845801734	148371.138516585	1236.42615430488	0.451963599836642	0	0	243940.757869772	4342.90780525971	305921.698084313
714399.476873209	309104.57689549	211833.26842078	502566.208452429	0	211790.472457423	155207.932492848	434582.210979975	0	31041.5864985697	0	211753.437452807	0	0	1762.79344922697	440.698362306742	5257.54098954469	4407.30913380266	113257.165198955	41889.6364434492	117766.866139001	0	0	0	11580.4234758076	391199.12646236	0	11577.1826048409	185130.501270103	123111.78334462	308.550835450172	19554.4823182433	99933.8407241493	3693.35350033859	19857.073841402	118538.098922194	151798.239074657	1264.98532562214	0.451963599836642	0	0	260568.08222354	4408.05142233861	318406.712153595
867064.718791315	224976.109817261	344017.360080684	523047.358710633	0	342536.859831474	164764.251356189	449067.230476613	0	32306.9200964633	0	341215.029260281	0	0	1804.88066939343	431.669979821906	5336.40410438785	4473.43162181507	121349.226447624	43301.3582376139	118548.135978447	0	0	0	15366.7292396593	519104.596450785	0	15328.3345305789	135551.023861552	90141.4308679312	225.918373102585	25890.3790997465	145576.265992464	2704.24292603796	26052.2644162571	123369.694053502	221128.505305009	1842.73754420841	0.451963599836642	0	0	277063.981418996	4474.17219367368	332195.819752535
947331.867199815	223211.775382167	403062.577084035	544269.290115777	0	402419.71621928	174813.890029441	463931.264005544	0	33618.1660018414	0	401827.535189955	0	0	1847.85430817305	422.253475718796	5416.45016595365	4540.55408143917	129987.811837707	44724.3857837442	119203.213304646	0	0	0	17226.9690481805	581945.492522009	0	17209.0452098909	133938.590852728	89069.1629170632	223.230984754546	29067.0003019516	167439.28740708	2672.0748875119	29259.9754305242	128376.075592576	254338.158086703	2119.48465072253	0.451963599836642	0	0	294240.852150763	4541.28477657879	346426.460924191
1033647.80235097	218792.932090201	467399.245914444	566248.55643652	0	466665.927948566	185369.158415449	479161.863798916	0	34975.3169586508	0	466024.993749338	0	0	1891.69099945079	412.452725935977	5497.69691844293	4608.62761564819	139134.518410186	46128.188908761	119745.985690512	0	0	0	19165.9362872749	647445.885642991	0	19146.5166185913	131305.97919463	87318.4761644295	218.843298657718	32339.4934202421	189951.244579501	2619.55428493288	32525.5775206879	133561.148201052	288533.536070128	2404.44613391774	0.451963599836642	0	0	312385.400254488	4609.40404822747	361155.359155066
1126316.21569872	211505.984533904	537312.435036153	589003.78066257	0	536583.637038723	196463.634580925	494795.571946114	0	36382.0635014231	0	535880.550645241	0	0	1936.46615756604	402.271529354907	5580.1623722196	4677.82435987297	148836.781476009	47514.4947464386	120172.17069361	0	0	0	21265.0561271051	718356.405400483	0	21244.0606174011	126949.167638114	84421.196479346	211.581946063525	35882.357728119	214420.018806304	2532.63589438039	36058.5511524456	138929.306185389	325701.294389323	2714.17745324436	0.451963599836642	0	0	331347.690199628	4678.54510895091	376402.409410811
1214497.45334631	193612.803600378	601945.936783718	612551.516562591	0	601210.848091761	208096.839894566	510779.154596418	0	37835.5786574202	0	600566.79682959	0	0	1982.10632884414	391.6809108785	5663.86480780288	4747.92513628688	159107.188602814	48872.3166823035	120461.912690758	0	0	0	23215.2770730308	784236.960809235	0	23195.8318481429	116289.783621034	77332.7061079871	193.816306035057	39179.0040127546	236967.064778317	2319.98118323963	39340.1530444055	144484.456550396	359949.971815165	2999.58309845971	0.451963599836642	0	0	348092.48628986	4748.72328558517	392139.541341451
1319604.80737144	179892.778899089	682700.62790839	636904.179463056	0	681846.489597973	220310.726053293	527166.094324835	0	39340.8852830594	0	681034.766794224	0	0	2028.7281779474	380.691862843572	5748.82277991995	4819.20072975513	169987.647309737	50199.4394839831	120618.883907691	0	0	0	25609.8657417434	865128.734533572	0	25585.8230855418	108022.736946585	71835.1200694796	180.037894910977	43215.8273909166	264994.120227021	2155.05360208439	43355.3918194872	150229.529979261	402522.714268892	3354.35595224077	0.451963599836642	0	0	365558.523853475	4819.95413486893	408410.994227267
1431906.00195187	162653.544617876	769835.955703576	662070.04624829	0	768982.625088394	233112.416598072	543920.886537652	0	40896.4896387224	0	768106.286776963	0	0	2076.305592653	369.285096431064	5835.05512161873	4891.54540782256	181497.203018401	51485.6070195775	120627.639571584	0	0	0	28193.1048835808	952393.323591244	0	28167.2692947788	97693.4227669644	64966.1261400311	162.822371278274	47576.028484481	295372.334031887	1948.98378420096	47695.3850947984	156166.480364918	448666.836504132	3738.8903042011	0.451963599836642	0	0	386086.952358846	4892.25344689198	425200.840571486
