Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44
224004.528227426	455584.15198442	177768.668132968	46235.8600944579	0	177768.668132968	29317.0412839888	249194.850913905	0	14658.5206419944	0	177768.971631202	0	0	0	0	0	0	21401.4387995083	7915.60065187294	67282.6055409199	0	0	0	7694.57860874911	259931.118799494	0	7694.57835408582	273350.491190651	91116.8303968835	91116.8303968835	12996.5555098348	0.108048791879974	31890.8906389093	104113.38627001	246934.217034386	0.202591484774952	0.0270121979699936	0.303498233360429	0	0	176842.990456579	0	181912.229795821
229770.941664236	509056.570922386	181627.876382224	48143.0652820131	0	181579.573550453	30013.6624504425	255116.130828762	0	15006.8312252213	0	181541.577215138	0	0	0	0	0	0	21904.4204600393	8101.63496467205	68863.8971997124	0	0	0	7862.09174777438	265589.892314518	0	7860.31099217793	305032.377917962	101677.459305987	101677.459305987	13276.4868240194	57.733146847349	35587.1107570956	114844.801210759	252072.83357247	108.249650338779	14.4332867118372	0.303498233360429	0	0	191692.205968236	0	186187.573910333
235674.573268882	565466.008820626	185549.830551721	50124.7427171593	0	185505.795659796	30794.1965239574	261750.670453638	0	15397.0982619787	0	185466.920929427	0	0	0	0	0	0	22474.061434188	8312.32409209692	70654.7547828239	0	0	0	8043.68470081573	271724.297049362	0	8041.86836365843	338899.593176874	112966.531058957	112966.531058957	13583.146961597	58.7558709387366	39538.285870635	126433.914206282	257896.18017366	110.167258010131	14.6889677346841	0.303498233360429	0	0	206464.47395771	0	191029.522190598
241720.972513752	624913.523910138	189538.514631175	52182.4578825782	0	189491.920347909	31592.5744396933	268536.882737393	0	15796.2872198467	0	189452.53080475	0	0	0	0	0	0	23056.7461496616	8527.83761699815	72486.6197444843	0	0	0	8228.58152621074	277970.310136129	0	8226.72987835885	374531.448452924	124843.816150974	124843.816150974	13895.3879742784	59.8701593014788	43695.335652841	138617.759606723	263825.277263473	112.256548690273	14.9675398253697	0.303498233360429	0	0	221851.553496239	0	195982.342272124
247917.463329634	687491.562320003	193600.35798983	54317.1053398032	0	193552.65542151	32411.2590066618	275495.701556625	0	16205.6295033309	0	193512.553098369	0	0	0	0	0	0	23654.2411912868	8748.82893376362	74365.0459369907	0	0	0	8417.40343005414	284348.916583018	0	8415.51320071901	412053.984914665	137351.328304888	137351.32830489	14214.2531304285	61.1089944546542	48072.9649067109	151437.886988093	269879.843870471	114.579364602477	15.2772486136636	0.303498233360429	0	0	237758.821200319	0	201061.050125938
375720.591366301	625360.880411048	319189.893514017	56530.697852282	0	317778.725397176	47347.4799571218	380736.41841884	0	22530.7314934717	0	313212.379235486	0	0	0	0	0	0	34774.3755159135	12400.4632851612	99795.1646655247	0	0	0	25081.5409183425	421347.740455003	0	24845.4289968285	375635.401540592	125211.800513531	125211.800513531	19936.6175919204	1459.12898695932	43824.1301797357	145218.772397761	395455.945301132	2735.86685054872	364.782246739829	0.303498233360429	0	0	256021.193794094	0	279810.095831467
426964.40445654	641690.530138194	368140.05083461	58824.3536219313	0	367613.738237307	55780.7454678588	425937.261278564	0	25353.5793024433	0	366633.069352456	0	0	0	0	0	0	41450.9244450314	14259.888640356	108953.232561273	0	0	0	42730.5729760962	471889.849739809	0	42550.9957665002	384908.972145357	128302.99071512	128302.99071512	21217.854414617	514.198169525924	44906.0467502919	149481.15052867	448665.188814001	964.121567861106	128.549542381481	0.303498233360429	0	0	276501.081508039	0	316658.315987286
481977.61840206	656051.839880079	420777.756630242	61199.8617718146	0	420220.033135199	61907.0302396052	449434.682669036	0	26912.7217320338	0	419164.948722248	0	0	0	0	0	0	46439.59396867	15393.5269619778	111821.19492982	0	0	0	63091.3706460108	509590.822403517	0	62876.5514676589	393539.804661772	131179.934887258	131179.934887258	21641.4109006757	3226.23247819419	45912.9772105401	152787.765883893	477471.966141381	6049.1858966141	806.558119548547	0.303498233360429	0	0	296981.186674476	0	337293.273422453
540811.441180587	668287.28943235	477152.206115202	63659.2350653834	0	476566.619563858	67339.106260283	465710.051861057	0	28055.2188484916	0	475437.692529493	0	0	0	0	0	0	51001.4838709958	16279.1478799582	112651.19573906	0	0	0	86741.567604836	545084.820895046	0	86495.7814420599	400896.170274765	133632.056758255	133632.056758255	21790.5381762143	8076.70550490597	46771.2198653892	155397.208543532	497704.340296162	15143.8228216987	2019.17637622649	0.303498233360429	0	0	318046.459661679	0	352875.164661844
603495.132306843	678240.632018942	537290.869681139	66204.2626256997	0	536681.95736983	72965.3294032578	481518.240029778	0	29183.3457596334	0	535475.310499804	0	0	0	0	0	0	55777.3658424887	17130.390219556	113113.018200072	0	0	0	114148.017616986	580129.188580937	0	113864.79765199	406883.915536116	135627.971845372	135627.971845372	21743.3724182211	12913.1425355356	47469.7901458802	157352.271190094	517690.75609618	24212.1422541293	3228.28563388391	0.303498233360429	0	0	338966.810407878	0	368246.30990761
