WasteGenerated	CollectedPlastic	FormalCollection	InformalCollectSorting	MixedCollection	FormalSorting	ExportedWaste	ImportedWaste	CLMechanicalRecyling	OLMechanicalRecyling	ChemicalConversion	UnsortedWaste	UnsortedManagedWaste	EngineeredLandfills	ThermalEnergyRecovery	FuelsFractionChemConversion	UncollectedWaste	MismanagedWaste	OpenBurning	TerrestrialDumping	DirectToWater	UnsanitaryDumpsites	OceanLeakage	RecycledPlasticPolymers	RecycledMonomers	VirginPlasticInput	ExternalSource
0	8.71997147769923e-11	2647.29604182324	4365.8354880771	2647.30056145926	0	0	0	436.583627804637	3710.96083633941	0	3985.42906211005	114.586158569517	5707.30413532421	0	0	6784.46958585318	3870.84334443533	611713.184299447	370597.779647669	200.326600766379	3677.36789661941	61055.8747942356	423880.424511462	0	0	0
0	1.16422234248615e-10	2704.07356001016	4470.13151104784	2703.50928196049	0	0	0	446.899960043451	3798.64966036934	0	4072.39175399918	117.059915934745	17283.5330566685	0	0	7571.16754114857	3954.40952164626	1042298.6735044	633953.54010434	205.238943670263	3754.41780508442	104227.56434924	729969.241611892	0	0	0
0	1.16422244155217e-10	2762.52495517807	4586.3384906257	2761.94457892717	0	0	0	458.517651232437	3897.40003547571	0	4166.41874364649	119.762812964409	29126.5138277719	0	0	8411.50815512523	4045.71628250272	1522004.58967085	927351.606677652	210.643184971419	3841.11494687912	150544.318144022	1043969.54711603	0	0	0
0	1.16422244155217e-10	2821.87641212872	4705.22562355424	2821.29084086665	0	0	0	470.403603186436	3998.43062708471	0	4262.17895858762	122.515479337193	41242.1451440843	0	0	9295.74783835966	4138.70430515363	2053423.47822482	1252386.08949179	216.175606922834	3929.40492502555	200158.770999434	1366116.16385336	0	0	0
0	1.16422244155217e-10	2882.39139069028	4827.23409546823	2881.79057489231	0	0	0	482.601164245382	4102.10989608575	0	4360.04562715177	125.32867773038	53636.2360372517	0	0	10227.7121508776	4233.73716438187	2639368.72169168	1610777.86300459	221.857749949855	4019.64351847043	253235.071254504	1696618.45946427	0	0	0
0	1.16422244155217e-10	4413.31687999377	6557.24072474991	8703.65490959283	0	0	0	686.528803989234	5524.29934613722	0	6293.3814651802	180.345252349959	68688.1246833574	0	0	8808.18962107141	6092.2560671744	3214124.63532785	1960694.66720952	312.424958717345	5752.18026888832	310088.767319985	2085009.52457988	0	0	0
0	1.16422244155217e-10	5306.59473918478	7661.74018903732	10577.7352508801	0	0	0	841.469854660267	6427.07449639741	0	7520.91612052733	215.906037018351	88647.5960974321	0	0	9241.95236299097	7293.53751665272	3760339.23767508	2291658.67237602	373.357609305907	8987.80401119798	373683.439625733	2588437.5541985	0	0	0
0	1.16422244155217e-10	6300.83743884509	8034.70117708177	12561.7670448452	0	0	0	923.310011652459	6706.64621707835	0	8572.04421203395	246.160406977179	111779.06997047	0	0	9684.24394815237	8315.56258544987	4354445.52511794	2639092.04841199	424.956678024367	25156.2542944594	445170.720438296	3147526.43529893	0	0	0
0	1.16422244155217e-10	7412.03469682379	8357.61487746214	14779.5291452212	0	0	0	1002.19767728908	6934.42280976541	0	9716.69049415485	279.036721744203	138034.373857042	0	0	10108.4928955866	9426.15976223097	5017665.8148996	3002423.46941266	480.854067547064	67920.4973653707	525512.183164656	3734841.08418618	0	0	0
0	1.16422244155217e-10	8494.25089403126	8691.83926369248	16945.1449383797	0	0	0	1085.72632030016	7168.29759570781	0	10835.562198877	311.215324582787	167555.150356983	0	0	10402.2112892806	10513.1874816862	5747871.27596252	3378966.71422692	535.516667759436	138675.343223736	614824.793308766	4351372.18515065	0	0	0
0	1.16422244155217e-10	9850.59291392883	9037.47070744581	19646.6488524783	0	0	0	1174.07900149935	7408.18493549383	0	12217.8781589461	350.879202926421	200646.965283023	0	0	10773.2248372053	11853.0758365943	6548619.85610036	3767668.12433899	602.747184645525	240676.899696488	713780.38109487	4998383.63839057	0	0	0
0	1.16422244155217e-10	11356.0573310604	9394.66053931863	22651.6830943815	0	0	0	1267.44720325149	7654.03716414086	0	13751.6730810933	394.935897775331	237935.003190873	0	0	11112.6399425889	13341.3582448946	7432818.54898384	4169433.49192543	677.43028247986	380971.482093449	824092.587063449	5677175.08038012	0	0	0
0	1.16422244155217e-10	13018.7916290986	9763.47375057118	25970.7718410422	0	0	0	1366.01330658889	7905.73201954657	0	15440.5825513916	443.44910711593	279849.819709881	0	0	11412.9178425191	14980.1864928922	8405974.31507509	4582937.51235311	759.596102895499	564290.89635947	946753.418285128	6389073.68406511	0	0	0
0	1.16422244155217e-10	14853.0825435641	10144.1525820769	29632.4955505687	0	0	0	1469.98660573453	8163.29028875166	0	17298.7092070678	496.824101566984	326860.289197052	0	0	11668.0967262926	16783.2510567923	9473976.99847983	5006642.61980339	849.923296574174	795817.009672627	1082836.41142222	7135445.16735359	0	0	0
0	1.16422244155217e-10	16870.6573059515	10536.7033209543	33660.284097248	0	0	0	1579.5463989556	8426.54072774853	0	19337.5316271097	555.390809447418	379468.061296251	0	0	11870.9405683944	18761.6972690975	10642925.494243	5438756.84329159	948.961012218772	1081117.03283187	1233479.02069429	7917686.0832986	0	0	0
0	1.16422244155217e-10	19085.4005289822	10941.3417135235	38081.9534994903	0	0	0	1694.90390595371	8695.47495652641	0	21591.2997901443	620.124713310573	438236.510165189	0	0	12014.085320212	20948.4779767865	11919670.9294373	5877224.29516116	1058.33438060765	1426488.06909496	1399957.39258466	8736360.54282584	0	0	0
0	1.16422244155217e-10	21509.8302122032	11358.0742947481	42922.4286017489	0	0	0	1816.24176747671	8969.9183728548	0	24053.6095598028	690.861923620811	503783.51031024	0	0	12089.3275393217	23338.0568155533	13311635.1243268	6319700.88100884	1177.79259105105	1838869.64852373	1583667.8456001	9591466.84593707	0	0	0
0	3.49716931481727e-10	24158.7648748896	11786.8580541395	48211.3667942524	0	0	0	1943.73445294827	9249.6563949284	0	26738.6947315155	767.99772018031	576724.539752058	0	0	12088.0643051248	25943.7867611027	14825694.7651872	6763536.56820183	1307.96966622709	2325173.50708753	1785972.07528428	10484497.7903044	0	0	0
0	5.81933684056376e-10	27047.245439407	12227.6975803051	53979.2197385562	0	0	0	2077.56398754044	9534.51425072039	0	29661.6547202279	851.967658889204	657722.139984926	0	0	12001.142501125	28780.381358929	16469099.4187168	7205753.70136931	1449.5984081667	2892871.55255148	2008327.20902314	11416791.3205468	0	0	0
0	5.81933626829565e-10	30185.0322308716	12680.377132581	60244.1634330833	0	0	0	2217.87188634167	9824.13490565181	0	32831.4035787644	943.029572567393	747464.928653252	0	0	11819.1028827079	31856.5504782465	18249055.5415143	7643039.24358005	1603.10313346469	3549747.15752915	2252229.90334974	12389690.7274432	0	0	0
0	5.81933626829565e-10	33599.5853424289	13145.1352494919	67062.5671049116	0	0	0	2364.88026784885	10118.5343425841	0	36275.957331003	1041.98772580442	846718.24649999	0	0	11531.2294703375	35199.4630395641	20173617.4161466	8071693.66313177	1769.83187921479	4304496.0898569	2519344.79736516	13404568.165057	0	0	0
