WasteGenerated	CollectedPlastic	FormalCollection	InformalCollectSorting	MixedCollection	FormalSorting	ExportedWaste	ImportedWaste	CLMechanicalRecyling	OLMechanicalRecyling	ChemicalConversion	UnsortedWaste	UnsortedManagedWaste	EngineeredLandfills	ThermalEnergyRecovery	FuelsFractionChemConversion	UncollectedWaste	MismanagedWaste	OpenBurning	TerrestrialDumping	DirectToWater	UnsanitaryDumpsites	OceanLeakage	RecycledPlasticPolymers	RecycledMonomers	VirginPlasticInput	ExternalSource
0	0	892.866664457767	90.2534482010462	892.866664462217	0	0	0	0	85.740292941234	0	920.529186903928	26.4663837749419	1318.01871313638	0	0	2520.45742958416	894.062832417515	291343.209167399	48758.3397262954	548.794575160397	35362.5163322446	116073.694385008	9076.43736556914	0	0	0
0	0	912.096049063101	95.8877265223124	911.902643191318	0	0	0	0	91.0392790264385	0	941.065733082569	27.0507366377344	3993.10350254904	0	0	2795.59045351549	913.802898914025	496678.717408322	83297.7569683986	604.24466097832	59854.6834135085	198395.36048054	15525.7360299965	0	0	0
0	0	931.84464550193	99.857556841595	931.649031505132	0	0	0	0	94.8264895613145	0	962.03524515938	27.6537021353559	6728.75121321038	0	0	3088.75154690477	934.171720179434	720028.792784947	121550.292309701	663.867775754023	84814.6366204008	288643.954768141	22311.3895227195	0	0	0
0	0	951.940212721314	103.957725583362	951.737888967678	0	0	0	0	98.7201833934636	0	983.376484284665	28.2671775336201	9525.2183725417	0	0	3397.84627453967	954.895577161733	962383.949743395	163719.200408354	726.680943857309	110270.331165659	387250.026605207	29376.0968696638	0	0	0
0	0	972.393303880104	108.211259864131	972.189399146609	0	0	0	0	102.759583148313	0	1005.12733275466	28.8924258684023	12383.635973796	0	0	3723.03117071042	976.017136567556	1224714.10853745	210011.896536805	792.747971511721	136228.497180661	494647.890592471	36730.3991892135	0	0	0
0	0	1467.61115146092	112.622134841964	1462.59975921674	0	0	0	0	106.948398113755	0	1492.09113032272	42.7552250534111	15939.6241687501	0	0	3517.21008240103	1444.31736261955	1503979.04490617	257119.899816469	775.838391211567	169211.634658134	606756.53843478	44385.0551813939	0	0	0
0	0	1570.60571664332	117.192639899701	1569.6150075627	0	0	0	0	111.288847683905	0	1604.52432227177	46.1034017192721	20405.9060250195	0	0	3709.31366262412	1557.42236172971	1799779.83152655	304071.366438564	819.289823664283	211399.213273077	722318.355766352	52351.0674777601	0	0	0
0	0	1669.89185527493	121.926194476468	1668.89933682525	0	0	0	0	115.784163798633	0	1705.24951834989	48.9991002749593	25161.6558662826	0	0	3910.85356389136	1655.24216493895	2112812.42045923	353609.243468778	864.480927480072	256410.537757672	844445.072308171	60639.6128670644	0	0	0
0	0	1770.01785449392	126.827038029895	1769.01016349817	0	0	0	0	120.438352428846	0	1806.85448672357	51.920163061201	30208.489561095	0	0	4117.85290105137	1753.91879906262	2443427.2486198	405804.86648299	910.800612537776	304256.912536531	973291.013048914	69262.1491490876	0	0	0
0	0	1569.69756305823	131.898567918049	1571.7480494315	0	0	0	0	125.254666278245	0	1614.17959250521	46.467724234904	35145.2951892016	0	0	3633.52209681633	1569.72956708913	2763508.77561337	456242.156006335	806.279387578512	350813.732208975	1098127.63921335	78230.3920995675	0	0	0
