Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44
132963.94755723	375341.563111201	132963.94755723	0	0	132963.947557229	0	12768.3477167176	0	672.018300879871	0	132963.947557415	0	0	0	0	0	0	0	0	3447.43442978821	0	0	0	3941.3216954051	133142.074430235	0	3941.32171180254	225204.937866717	149761.283681368	375.341563111196	6657.10374920791	41826.9503520228	11980.9026945093	7032.44398519645	13439.1594727265	67827.4870573343	3391.37435286671	0	0	0	132265.657822731	0	9320.84123609403
135861.281418957	416796.463674976	135861.281418957	0	0	135824.548550745	0	13565.1737119491	0	713.956511155217	0	135795.789715087	0	0	0	0	0	0	0	0	3660.42167422908	0	0	0	4029.16264320993	136109.435867463	0	4028.25546047211	249762.494226448	166092.058660588	416.270823710747	6803.93951307561	42544.9987427448	13287.364692847	7218.26639926843	14288.3676599372	68991.8898530996	3449.59449265498	0	0	0	143384.123435152	0	9896.69563773049
138804.482671648	460505.706475627	138804.482671648	0	0	138764.215309662	0	14127.046229697	0	743.528748931422	0	138734.673737169	0	0	0	0	0	0	0	0	3812.76656787463	0	0	0	4118.89823237952	139140.800322231	0	4117.99890146799	275944.619491616	183503.171961925	459.907699152693	6955.52099796974	43392.9686121917	14680.253756954	7413.47596693537	14876.6054149611	70366.9761278783	3518.34880639392	0	0	0	154445.026864409	0	10308.5910909203
141796.451207336	506545.107899472	141796.451207336	0	0	141763.046526838	0	14707.1281080533	0	774.059374108068	0	141733.325466757	0	0	0	0	0	0	0	0	3969.3305041826	0	0	0	4210.47860329275	142234.483483058	0	4209.56484547908	303618.565254453	201906.345894211	506.030942090755	7110.18078819965	44254.2261452588	16152.5076715369	7614.20502642954	15487.4183669858	71763.6099652845	3588.18049826423	0	0	0	165965.697637565	0	10731.8935853826
144841.914433624	554983.413682253	144841.914433624	0	0	144812.296046445	0	15308.8968057414	0	805.731410828497	0	144781.658560421	0	0	0	0	0	0	0	0	4131.74878038177	0	0	0	4303.68189875964	145382.990776097	0	4302.74845836216	332707.398696617	221250.420133251	554.512331161029	7267.57290791196	45126.2407142125	17700.0336106601	7820.02350445879	16121.0725092124	73177.6876446689	3658.88438223344	0	0	0	177875.022554353	0	11171.0244802915
237476.607045489	516363.695293577	237476.607045489	0	0	236449.38213153	0	15932.8941629172	0	838.573376995642	0	235521.644817752	0	0	0	0	0	0	0	0	4300.16735249042	0	0	0	13425.9887611145	226306.646027437	0	13299.0726215465	310075.169312201	206199.987592614	516.791948853668	11275.2651110701	73057.1926784101	16495.9990074091	11752.2366859345	16778.1650065208	118471.123262287	5923.55616311433	0	0	0	190353.958206377	0	11626.3783974741
279071.88609468	531387.433782548	279071.88609468	0	0	278618.73832087	0	16579.4889781446	0	872.60468306024	0	278201.403193099	0	0	0	0	0	0	0	0	4474.68652538155	0	0	0	23509.9869927706	259620.894796256	0	23403.9108579987	318734.25719736	211958.281036245	531.2237619956	12965.4482689896	84687.2608619781	16956.6624828996	13480.9237485218	17459.0282946453	137330.693289694	6866.53466448471	0	0	0	203352.767209393	0	12098.2265315872
324585.929935807	545172.941161051	324585.929935807	0	0	324076.08595304	0	17249.1587490855	0	907.850460478183	0	323620.677115691	0	0	0	0	0	0	0	0	4655.43446830105	0	0	0	36213.1794911314	292513.778449853	0	36079.5785311251	327011.110332485	217462.388371103	545.018517220808	14609.5055862319	95984.0727117378	17396.9910696882	15138.1915862005	18164.1934039799	155649.847640656	7782.4923820328	0	0	0	216484.866077341	0	12586.9154142954
374249.787560761	557572.447667133	374249.787560761	0	0	373716.458504057	0	17942.485917735	0	944.341364091314	0	373217.333370821	0	0	0	0	0	0	0	0	4842.56806983026	0	0	0	51964.0147365392	326541.592190229	0	51799.3512628712	334463.575284398	222418.277564125	557.439292140663	16310.3730968195	107671.04742686	17793.46220513	16850.9738052684	18894.2579561641	174601.698530044	8730.0849265022	0	0	0	230253.724176369	0	13092.8692258374
352565.263394251	472177.846063658	352565.263394251	0	0	352788.348556207	0	18659.9670631827	0	982.103529641194	0	353007.330354591	0	0	0	0	0	0	0	0	5036.22211255078	0	0	0	59037.5941022737	300202.537177105	0	58972.5795204843	283835.674781311	188750.723729571	473.059457968851	15024.100250269	98349.0160382943	15100.0578983657	15511.989969334	19649.7533002613	159484.89087291	7974.24454364549	0	0	0	206005.650252283	0	13616.452378378
401046.579340871	479820.308896978	401046.579340871	0	0	400575.225303599	0	19401.9858808738	0	1021.15715162494	0	400086.620422891	0	0	0	0	0	0	0	0	5236.50035509681	0	0	0	77737.6521066469	328119.319165229	0	77540.5946334422	287847.603556856	191418.656365309	479.746005928093	16391.4611693051	107672.473157813	15313.4925092247	16856.623130914	20431.0780064916	174604.010526184	8730.20052630919	0	0	0	180092.740992079	0	14157.945404521
453565.558512955	485903.799814281	453565.558512955	0	0	453045.948291036	0	20168.7834968891	0	1061.5149208889	0	452517.310015258	0	0	0	0	0	0	0	0	5443.46850042809	0	0	0	100257.602167553	358236.929831745	0	100024.741777675	291506.166725874	193851.600872706	485.843611209789	17897.1119373052	117958.452732331	15508.1280698165	18368.1492872538	21238.4978024983	191283.97740378	9564.198870189	0	0	0	190743.994472846	0	14717.5259456019
510340.737773645	490278.948749852	510340.737773645	0	0	509767.944259178	0	20960.6209508304	0	1103.19057635949	0	509195.791264639	0	0	0	0	0	0	0	0	5657.19663916719	0	0	0	126679.100067171	388706.828316961	0	126406.559712841	294140.885244388	195603.688687518	490.234808740647	19420.4570161664	128359.0698412	15648.2950950015	19895.7544482787	22072.278330946	208149.84298573	10407.4921492865	0	0	0	201525.767382488	0	15295.3835058965
571599.915475189	492792.480678618	571599.915475189	0	0	570982.52062299	0	21777.8777947851	0	1146.20409446237	0	570368.763671361	0	0	0	0	0	0	0	0	5877.78705353301	0	0	0	157415.453812341	419362.483496179	0	157099.140720103	295660.370195596	196614.146180071	492.767283659326	20953.1863520028	138815.757389643	15729.1316944057	21430.9781664418	22932.8180133427	225106.633604826	11255.3316802413	0	0	0	212799.615312606	0	15891.7946262189
